Pokemon Evolution Index
-----------------------
Base Pokemon    | # Evolutions | 
-----------------------
Abra            |  26 evolutions | 
Aipom           |  72 evolutions | 
Amaura          |  66 evolutions | 
Anorith         |  71 evolutions | 
Applin          |  72 evolutions | 
Arbok           |  35 evolutions | 
Archen          |  47 evolutions | 
Arctibax        |  31 evolutions | 
Ariados         |  81 evolutions | 
Aron            |  29 evolutions | 
Arrokuda        |  83 evolutions | 
Audino          |  62 evolutions | 
Axew            |  20 evolutions | 
Azumarill       |  96 evolutions | 
Azurill         |  27 evolutions | 
Bagon           |  22 evolutions | 
Baltoy          |  81 evolutions | 
Barboach        |  82 evolutions | 
Basculinw1      |  67 evolutions | 
Basculinw2      |  71 evolutions | 
Bayleef         |  62 evolutions | 
Beautifly       |  89 evolutions | 
Beedrill        |  84 evolutions | 
Beldum          |  28 evolutions | 
Bellsprout      |  30 evolutions | 
Bergmite1       |  32 evolutions | 
Bergmite2       |  36 evolutions | 
Bibarel         | 122 evolutions | 
Bidoof          |  28 evolutions | 
Binacle         | 104 evolutions | 
Bisharp         |  71 evolutions | 
Blipbug         |  12 evolutions | 
Blitzle         |  46 evolutions | 
Boldore         |  43 evolutions | 
Bonsly          |  27 evolutions | 
Bounsweet       |  24 evolutions | 
Braixen         |  40 evolutions | 
Bramblin        |  76 evolutions | 
Brionne         |  71 evolutions | 
Bronzor         |  82 evolutions | 
Budew           |  31 evolutions | 
Buizel          |  83 evolutions | 
Bulbasaur       |  34 evolutions | 
Buneary         |  70 evolutions | 
Bunnelby        |  32 evolutions | 
Burmy1          |  47 evolutions | 
Burmy2          |  47 evolutions | 
Burmys1         |  47 evolutions | 
Burmys2         |  47 evolutions | 
Burmyt1         |  47 evolutions | 
Burmyt2         |  47 evolutions | 
Butterfree      |  91 evolutions | 
Cacnea          |  71 evolutions | 
Capsakid        |  62 evolutions | 
Carkol          |  75 evolutions | 
Carvanha        |  81 evolutions | 
Cascoon         |  30 evolutions | 
Castform        |  74 evolutions | 
Castformf       |  43 evolutions | 
Castformi       |  32 evolutions | 
Castformw       |  78 evolutions | 
Caterpie        |  14 evolutions | 
Cetoddle        |  33 evolutions | 
Chansey         |  63 evolutions | 
Charcadet       |  43 evolutions | 
Charjabug       |  77 evolutions | 
Charmander      |  17 evolutions | 
Charmeleon      |  43 evolutions | 
Chatot          |  94 evolutions | 
Cherrim         |  43 evolutions | 
Cherubi         |  53 evolutions | 
Chespin         |  34 evolutions | 
Chewtle         |  80 evolutions | 
Chikorita       |  34 evolutions | 
Chimchar        |  17 evolutions | 
Chinchou        |  84 evolutions | 
Chingling       |  46 evolutions | 
Clamperl        |  84 evolutions | 
Clauncher       |  84 evolutions | 
Clefairy        |  29 evolutions | 
Cleffa          |   8 evolutions | 
Clobbopus       |  33 evolutions | 
Clodsire        |  68 evolutions | 
Combee          |  86 evolutions | 
Combusken       |  83 evolutions | 
Corphish        |  78 evolutions | 
Corsola         | 103 evolutions | 
Corsolag        |  43 evolutions | 
Corvsquire      |  68 evolutions | 
Cosmoem1        |  24 evolutions | 
Cosmoem2        |  24 evolutions | 
Cosmog          |  28 evolutions | 
Cottonee        |  71 evolutions | 
Crabrawler      |  32 evolutions | 
Cranidos        |  46 evolutions | 
Croagunk        |  74 evolutions | 
Crocalor        |  42 evolutions | 
Croconaw        |  68 evolutions | 
Cubchoo         |  34 evolutions | 
Cubone          |  30 evolutions | 
Cufant          |  42 evolutions | 
Cutiefly        |  58 evolutions | 
Cyndaquil       |  17 evolutions | 
Dartrix1        | 101 evolutions | 
Dartrix2        | 101 evolutions | 
Darumaka        |  47 evolutions | 
Darumakag       |  35 evolutions | 
Dedenne         |  67 evolutions | 
Deerling        |  98 evolutions | 
Deino           |  25 evolutions | 
Delcatty        |  80 evolutions | 
Delibird        |  42 evolutions | 
Dewott1         |  69 evolutions | 
Dewott2         |  77 evolutions | 
Dewpider        |  84 evolutions | 
Diggersby       |  82 evolutions | 
Diglett         |  31 evolutions | 
Digletta        |  30 evolutions | 
Dipplin         |  69 evolutions | 
Ditto           |  28 evolutions | 
Doduo           |  93 evolutions | 
Dolliv          | 108 evolutions | 
Dottler         |  78 evolutions | 
Doublade        |  69 evolutions | 
Dragonair       |  23 evolutions | 
Drakloak        |  32 evolutions | 
Dratini         |  22 evolutions | 
Dreepy          |  20 evolutions | 
Drifloon        |  83 evolutions | 
Drilbur         |  49 evolutions | 
Drizzile        |  66 evolutions | 
Drowzee         |  52 evolutions | 
Ducklett        | 100 evolutions | 
Dugtrio         |  42 evolutions | 
Dugtrioa        |  59 evolutions | 
Dunsparce       |  74 evolutions | 
Duosion         |  55 evolutions | 
Duraludon       |  39 evolutions | 
Dusclops        |  41 evolutions | 
Duskull         |  35 evolutions | 
Dustox          |  82 evolutions | 
Dwebble         |  77 evolutions | 
Eelektrik       |  45 evolutions | 
Eevee           | 286 evolutions | 
Eeveep          |  63 evolutions | 
Ekans           |  48 evolutions | 
Electabuzz      |  35 evolutions | 
Electrike       |  40 evolutions | 
Elekid          |  43 evolutions | 
Elgyem          |  55 evolutions | 
Emolga          |  83 evolutions | 
Espurr1         |  51 evolutions | 
Espurr2         |  54 evolutions | 
Exeggcute       |  99 evolutions | 
Farfetchdg      |  39 evolutions | 
Farfetch’d      |  93 evolutions | 
Fearow          |  72 evolutions | 
Feebas          |  60 evolutions | 
Fennekin        |  19 evolutions | 
Ferroseed       |  89 evolutions | 
Fidough         |  31 evolutions | 
Finizen         |  66 evolutions | 
Finneon         |  70 evolutions | 
Flaaffy         |  49 evolutions | 
Flabébé         |  14 evolutions | 
Flechinder      |  78 evolutions | 
Fletchling      |  41 evolutions | 
Flittle         |  53 evolutions | 
Floette         |  25 evolutions | 
Floragato       |  58 evolutions | 
Fomantis        |  60 evolutions | 
Foongus         |  80 evolutions | 
Fraxure         |  24 evolutions | 
Frigibax        |  28 evolutions | 
Frillish        |  91 evolutions | 
Froakie         |  36 evolutions | 
Frogadier       |  71 evolutions | 
Fuecoco         |  19 evolutions | 
Furret          |  74 evolutions | 
Gabite          |  32 evolutions | 
Gastly          |  27 evolutions | 
Geodude         |  27 evolutions | 
Geodudea        |  26 evolutions | 
Gible           |  27 evolutions | 
Gimmighoul      |  28 evolutions | 
Gimmighour      |  28 evolutions | 
Girafarig       |  87 evolutions | 
Glameow         |  55 evolutions | 
Gligar          |  77 evolutions | 
Glimmet         |  72 evolutions | 
Gloom           |  91 evolutions | 
Golbat          |  76 evolutions | 
Goldeen         |  59 evolutions | 
Golett          |  64 evolutions | 
Goomy1          |  29 evolutions | 
Goomy2          |  30 evolutions | 
Gossifleur      |  60 evolutions | 
Gothita         |  13 evolutions | 
Gothorita       |  55 evolutions | 
Granbull        |  27 evolutions | 
Graveler        |  64 evolutions | 
Gravelera       |  68 evolutions | 
Greavard        |  43 evolutions | 
Grimer          |  53 evolutions | 
Grimera         |  69 evolutions | 
Grookey         |  47 evolutions | 
Grotle          |  60 evolutions | 
Grovyle         |  58 evolutions | 
Growlithe       |  38 evolutions | 
Growlitheh      |  63 evolutions | 
Grubbin         |  35 evolutions | 
Gulpin          |  51 evolutions | 
Gumshoos        |  74 evolutions | 
Gurdurr         |  42 evolutions | 
Hakamo-O        |  41 evolutions | 
Happiny         |  55 evolutions | 
Hatenna         |  12 evolutions | 
Hattrem         |  53 evolutions | 
Haunter         |  74 evolutions | 
Helioptile      |  93 evolutions | 
Herdier         |  81 evolutions | 
Hippopotas      |  40 evolutions | 
Honedge         |  40 evolutions | 
Hoothoot        |  82 evolutions | 
Hoppip          |  43 evolutions | 
Horsea          |  50 evolutions | 
Houndour        |  69 evolutions | 
Igglybuff       |  33 evolutions | 
Illumise        |  36 evolutions | 
Impidimp        |  15 evolutions | 
Inkay           |  84 evolutions | 
Ivysaur         |  92 evolutions | 
Jangmo-O        |  22 evolutions | 
Jigglypuff      |  48 evolutions | 
Joltik          |  65 evolutions | 
Kabuto          | 101 evolutions | 
Kadabra         |  53 evolutions | 
Kakuna          |  37 evolutions | 
Karrablast      |  44 evolutions | 
Kecleon         |  62 evolutions | 
Kirlia1         |  62 evolutions | 
Kirlia2         |  62 evolutions | 
Klang           |  33 evolutions | 
Klawf           |  36 evolutions | 
Klink           |  32 evolutions | 
Koffing1        |  50 evolutions | 
Koffing2        |  52 evolutions | 
Krabby          |  86 evolutions | 
Kricketot       |  30 evolutions | 
Kricketune      |  50 evolutions | 
Krokorok        |  71 evolutions | 
Kubfu           |  40 evolutions | 
Lairon          |  67 evolutions | 
Lampent         |  77 evolutions | 
Larvesta        |  63 evolutions | 
Larvitar        |  27 evolutions | 
Lechonk1        |  69 evolutions | 
Lechonk2        |  75 evolutions | 
Ledian          |  88 evolutions | 
Ledyba          |  35 evolutions | 
Lickitung       |  77 evolutions | 
Liepard         |  36 evolutions | 
Lileep          |  94 evolutions | 
Lillipup        |  18 evolutions | 
Linoone         |  73 evolutions | 
Linooneg        |  85 evolutions | 
Litleo          |  88 evolutions | 
Litten          |  21 evolutions | 
Litwick         |  18 evolutions | 
Lokix           |  60 evolutions | 
Lombre          | 108 evolutions | 
Lotad           |  62 evolutions | 
Loudred         |  71 evolutions | 
Luvdisc         |  40 evolutions | 
Luxio           |  39 evolutions | 
Machoke         |  42 evolutions | 
Machop          |  20 evolutions | 
Magby           |  37 evolutions | 
Magcargo        |  81 evolutions | 
Magikarp        |  60 evolutions | 
Magmar          |  38 evolutions | 
Magnemite       |  61 evolutions | 
Magneton        |  66 evolutions | 
Makuhita        |  32 evolutions | 
Mankey          |  28 evolutions | 
Mantyke         | 110 evolutions | 
Mareanie        | 107 evolutions | 
Mareep          |  16 evolutions | 
Marill          |  41 evolutions | 
Marowak         |  39 evolutions | 
Marowaka        |  77 evolutions | 
Marshtomp       |  82 evolutions | 
Maschiff        |  48 evolutions | 
Mawile          |  51 evolutions | 
Medicham        |  86 evolutions | 
Meditite        |  18 evolutions | 
Meltan          |  18 evolutions | 
Meowth          |  43 evolutions | 
Meowtha         |  30 evolutions | 
Meowthg         |  34 evolutions | 
Metang          |  42 evolutions | 
Metapod         |  34 evolutions | 
Mienfoo         |  38 evolutions | 
Mightyena       |  41 evolutions | 
Milcery         |  29 evolutions | 
Mime Jr.1       |  56 evolutions | 
Mime Jr.2       |  58 evolutions | 
Minccino        |  71 evolutions | 
Minior          |  74 evolutions | 
Minun           |  51 evolutions | 
Misdreavus      |  41 evolutions | 
Monferno        |  78 evolutions | 
Morelull        |  31 evolutions | 
Morgrem         |  58 evolutions | 
Morpeko         |  72 evolutions | 
Morpekoh        |  72 evolutions | 
Mothim          |  71 evolutions | 
Mr. Mimeg       |  73 evolutions | 
Mudbray         |  46 evolutions | 
Mudkip          |  35 evolutions | 
Munchlax        |  61 evolutions | 
Munna           |  55 evolutions | 
Murkrow         |  75 evolutions | 
Nacli           |  19 evolutions | 
Naclstack       |  46 evolutions | 
Natu            |  84 evolutions | 
Nickit          |  35 evolutions | 
Nidoran♂        |  14 evolutions | 
Nidoran♀        |  14 evolutions | 
Nidorina        |  50 evolutions | 
Nidorino        |  50 evolutions | 
Nincada1        |  66 evolutions | 
Nincada2        |  26 evolutions | 
Noibat          |  64 evolutions | 
Nosepass        |  44 evolutions | 
Numel           |  45 evolutions | 
Nuzleaf         |  81 evolutions | 
Nymble          |  48 evolutions | 
Oddish          |  33 evolutions | 
Omanyte         | 101 evolutions | 
Onix            |  67 evolutions | 
Oshawott        |  35 evolutions | 
Pachirisu       |  52 evolutions | 
Palpitoad       |  97 evolutions | 
Pancham         |  39 evolutions | 
Panpour         |  81 evolutions | 
Pansage         |  60 evolutions | 
Pansear         |  37 evolutions | 
Paras           |  48 evolutions | 
Parasect        |  88 evolutions | 
Patrat          |  32 evolutions | 
Pawmi           |  10 evolutions | 
Pawmo           |  71 evolutions | 
Pawniard        |  63 evolutions | 
Pelipper        |  91 evolutions | 
Perrserker      |  30 evolutions | 
Persian         |  62 evolutions | 
Persiana        |  34 evolutions | 
Petilil         |  63 evolutions | 
Phanpy          |  47 evolutions | 
Phantump        |  69 evolutions | 
Pichu           |  11 evolutions | 
Pichus          |  14 evolutions | 
Pidgeotto       |  97 evolutions | 
Pidgey          |  27 evolutions | 
Pidove          |  29 evolutions | 
Pignite         |  84 evolutions | 
Pikachu         |  47 evolutions | 
Pikachuc        |  15 evolutions | 
Pikachup        |  39 evolutions | 
Pikipek         |  31 evolutions | 
Piloswine       |  59 evolutions | 
Pincurchin      |  38 evolutions | 
Pineco          |  49 evolutions | 
Piplup          |  33 evolutions | 
Plusle          |  52 evolutions | 
Poipole         |  43 evolutions | 
Polchgeist      |  90 evolutions | 
Poliwag         |  24 evolutions | 
Poliwhirl       |  86 evolutions | 
Ponyta          |  38 evolutions | 
Ponytag         |  53 evolutions | 
Poochyena       |  24 evolutions | 
Popplio         |  36 evolutions | 
Porygon         |  72 evolutions | 
Porygon2        |  61 evolutions | 
Primeape        |  41 evolutions | 
Prinplup        |  73 evolutions | 
Psyduck         |  83 evolutions | 
Pumpkaboo       |  89 evolutions | 
Pumpkabool      |  89 evolutions | 
Pumpkaboos      |  89 evolutions | 
Pumpkaboox      |  89 evolutions | 
Pupitar         |  21 evolutions | 
Purrloin        |  28 evolutions | 
Pyukumuku       |  82 evolutions | 
Quagsire        |  89 evolutions | 
Quaxly          |  33 evolutions | 
Quaxwell        |  70 evolutions | 
Quilava1        |  40 evolutions | 
Quilava2        |  41 evolutions | 
Quilladin       |  59 evolutions | 
Qwilfish        |  82 evolutions | 
Qwilfishh       |  66 evolutions | 
Raboot          |  42 evolutions | 
Ralts           |  22 evolutions | 
Raticate        |  78 evolutions | 
Raticatea       |  83 evolutions | 
Rattata         |  30 evolutions | 
Rattataa        |  39 evolutions | 
Rellor          |  49 evolutions | 
Remoraid        |  81 evolutions | 
Rhydon          |  65 evolutions | 
Rhyhorn         |  63 evolutions | 
Riolu           |  39 evolutions | 
Rockruff1       |  45 evolutions | 
Rockruff2       |  47 evolutions | 
Rockruff3       |  48 evolutions | 
Roggenrola      |  17 evolutions | 
Rolycoly        |  23 evolutions | 
Rookidee        |  17 evolutions | 
Roselia         |  88 evolutions | 
Rotom           |  66 evolutions | 
Rowlet          |  48 evolutions | 
Rufflet         |  91 evolutions | 
Sableye         |  67 evolutions | 
Salandit        |  62 evolutions | 
Sandile         |  22 evolutions | 
Sandshrew       |  40 evolutions | 
Sandshrewa      |  40 evolutions | 
Sandslash       |  30 evolutions | 
Sandslasha      |  64 evolutions | 
Sandygast       |  59 evolutions | 
Scatterbug      |  14 evolutions | 
Scorbunny       |  24 evolutions | 
Scraggy         |  72 evolutions | 
Scyther         |  86 evolutions | 
Seadra          |  58 evolutions | 
Seaking         |  50 evolutions | 
Sealeo          |  84 evolutions | 
Seedot          |  29 evolutions | 
Seel            |  81 evolutions | 
Sentret         |  31 evolutions | 
Servine         |  58 evolutions | 
Sewaddle        |  36 evolutions | 
Shelgon         |  23 evolutions | 
Shellder        |  74 evolutions | 
Shellos         |  82 evolutions | 
Shelmet         |  44 evolutions | 
Shieldon        |  64 evolutions | 
Shiinotic       |  88 evolutions | 
Shinx           |  15 evolutions | 
