Evolutions from Combusken (out of approximately 12000):
Pokémon      | Count | Percentage
----------------------------
Mienshao     | 218 |   1.82%
Zapdosg      | 216 |   1.80%
Sirfetchâ€™d | 215 |   1.79%
Cobalion     | 213 |   1.77%
Entei        | 206 |   1.72%
Terrakion    | 206 |   1.72%
Slithrwing   | 206 |   1.72%
Arcanine     | 200 |   1.67%
Pheromosa    | 197 |   1.64%
Keldeo       | 192 |   1.60%
Buzzwole     | 191 |   1.59%
Grapploct    | 191 |   1.59%
Iron Hands   | 189 |   1.57%
Darmanitan   | 186 |   1.55%
Typhlosion   | 186 |   1.55%
Virizion     | 185 |   1.54%
Okidogi      | 185 |   1.54%
Passimian    | 185 |   1.54%
Blacphalon   | 182 |   1.52%
Moltres      | 180 |   1.50%
Iron Moth    | 179 |   1.49%
Chi-Yu       | 178 |   1.48%
Magmar       | 174 |   1.45%
Conkeldurr   | 174 |   1.45%
Machamp      | 172 |   1.43%
Great Tusk   | 168 |   1.40%
Cinderace    | 166 |   1.38%
Rapidash     | 164 |   1.37%
Magmortar    | 159 |   1.32%
Lopunnym     | 159 |   1.32%
Heatmor      | 158 |   1.32%
Lucario      | 152 |   1.27%
Turtonator   | 150 |   1.25%
Ninetales    | 150 |   1.25%
Ogerponf     | 149 |   1.24%
Flareon      | 145 |   1.21%
Urshifu      | 144 |   1.20%
Simisear     | 143 |   1.19%
Arcanineh    | 142 |   1.18%
Chandelure   | 140 |   1.17%
Skeledirge   | 140 |   1.17%
Annihilape   | 140 |   1.17%
Darmanitzg   | 139 |   1.16%
Taurosp      | 138 |   1.15%
Cameruptm    | 138 |   1.15%
Incineroar   | 136 |   1.13%
Infernape    | 134 |   1.12%
Chesnaught   | 133 |   1.11%
Decidueyeh   | 131 |   1.09%
Darmanitaz   | 130 |   1.08%
Delphox      | 127 |   1.06%
Urshifur     | 126 |   1.05%
Emboar       | 126 |   1.05%
Charizard    | 124 |   1.03%
Ceruledge    | 123 |   1.03%
Typhlosioh   | 122 |   1.02%
Armarouge    | 122 |   1.02%
Quaquaval    | 120 |   1.00%
Pangoro      | 117 |   0.97%
Medichamm    | 116 |   0.97%
Scrafty      | 114 |   0.95%
Poliwrath    | 113 |   0.94%
Toxicroak    | 113 |   0.94%
Lilliganth   | 112 |   0.93%
Salazzle     | 112 |   0.93%
Volcarona    | 112 |   0.93%
Houndoom     | 111 |   0.92%
Crabminble   | 111 |   0.92%
Taurospf     | 111 |   0.92%
Coalossal    | 108 |   0.90%
Pawmot       | 104 |   0.87%
Sneasler     | 104 |   0.87%
Gallade      | 103 |   0.86%
Heracross    |  99 |   0.83%
Scovillain   |  99 |   0.83%
Flamigo      |  96 |   0.80%
Hawlucha     |  93 |   0.78%
Talonflame   |  92 |   0.77%
Pyroar       |  90 |   0.75%
Taurospw     |  84 |   0.70%
Centskorch   |  84 |   0.70%
Bewear       |  80 |   0.67%
Rotomh       |  78 |   0.65%
----------------------------
TOTAL        | 12000 | 100.00%

