Evolutions from Ditto (out of approximately 12000):
Pokémon      | Count | Percentage
----------------------------
Buneary      | 546 |   4.55%
Loudred      | 534 |   4.45%
Herdier      | 512 |   4.27%
Spinda       | 497 |   4.14%
Tranquill    | 486 |   4.05%
Dolliv       | 486 |   4.05%
Aipom        | 473 |   3.94%
Rufflet      | 468 |   3.90%
Trumbeak     | 466 |   3.88%
Munchlax     | 447 |   3.72%
Watchog      | 446 |   3.72%
Porygon      | 446 |   3.72%
Delcatty     | 445 |   3.71%
Castform     | 424 |   3.53%
Raticate     | 424 |   3.53%
Farfetchâ€™d | 421 |   3.51%
Dunsparce    | 421 |   3.51%
Squawkbily   | 418 |   3.48%
Linoone      | 412 |   3.43%
Furret       | 410 |   3.42%
Gumshoos     | 403 |   3.36%
Litleo       | 394 |   3.28%
Lickitung    | 387 |   3.23%
Chatot       | 374 |   3.12%
Linooneg     | 353 |   2.94%
Raticatea    | 325 |   2.71%
Diggersby    | 317 |   2.64%
Bibarel      | 265 |   2.21%
----------------------------
TOTAL        | 12000 | 100.00%

