Evolutions from Makuhita (out of approximately 12000):
Pokémon      | Count | Percentage
----------------------------
Hitmontop    | 592 |   4.93%
Hitmonchan   | 554 |   4.62%
Hitmonlee    | 551 |   4.59%
Sirfetchâ€™d | 507 |   4.23%
Primeape     | 503 |   4.19%
Mienshao     | 500 |   4.17%
Conkeldurr   | 491 |   4.09%
Machamp      | 483 |   4.03%
Falinks      | 478 |   3.98%
Throh        | 473 |   3.94%
Sawk         | 472 |   3.93%
Passimian    | 451 |   3.76%
Taurosp      | 443 |   3.69%
Grapploct    | 443 |   3.69%
Gallade      | 381 |   3.17%
Sneaselh     | 332 |   2.77%
Crabminble   | 314 |   2.62%
Medichamm    | 311 |   2.59%
Taurospf     | 301 |   2.51%
Scrafty      | 295 |   2.46%
Breloom      | 289 |   2.41%
Sneasler     | 287 |   2.39%
Toxicroak    | 279 |   2.33%
Flamigo      | 278 |   2.32%
Pangoro      | 276 |   2.30%
Heracross    | 269 |   2.24%
Hawlucha     | 261 |   2.17%
Poliwrath    | 252 |   2.10%
Pawmot       | 248 |   2.07%
Lilliganth   | 238 |   1.98%
Taurospw     | 226 |   1.88%
Bewear       | 222 |   1.85%
----------------------------
TOTAL        | 12000 | 100.00%

