Evolutions from Medicham (out of approximately 12000):
Pokémon      | Count | Percentage
----------------------------
Conkeldurr   | 241 |   2.01%
Mienshao     | 231 |   1.93%
Sirfetchâ€™d | 220 |   1.83%
Espeon       | 218 |   1.82%
Sawk         | 208 |   1.73%
Hariyama     | 208 |   1.73%
Machamp      | 206 |   1.72%
Grapploct    | 205 |   1.71%
Throh        | 192 |   1.60%
Passimian    | 191 |   1.59%
Taurosp      | 191 |   1.59%
Hypno        | 189 |   1.57%
Musharna     | 188 |   1.57%
Meowstic     | 179 |   1.49%
Espathra     | 178 |   1.48%
Lucario      | 177 |   1.47%
Meowsticf    | 176 |   1.47%
Okidogi      | 175 |   1.46%
Urshifu      | 174 |   1.45%
Grumpig      | 174 |   1.45%
Beheeyem     | 172 |   1.43%
Falinks      | 171 |   1.43%
Alakazam     | 170 |   1.42%
Mr. Rime     | 170 |   1.42%
Munkidori    | 167 |   1.39%
Gothitelle   | 164 |   1.37%
Annihilape   | 161 |   1.34%
Reuniclus    | 159 |   1.32%
Gardevoir    | 155 |   1.29%
Hatterene    | 155 |   1.29%
Emboar       | 147 |   1.23%
Scrafty      | 146 |   1.22%
Malamar      | 144 |   1.20%
Delphox      | 144 |   1.20%
Darmanitaz   | 143 |   1.19%
Blaziken     | 140 |   1.17%
Bronzong     | 139 |   1.16%
Infernape    | 138 |   1.15%
Mr. Mimeg    | 138 |   1.15%
Chesnaught   | 138 |   1.15%
Medichamm    | 132 |   1.10%
Decidueyeh   | 131 |   1.09%
Crabminble   | 131 |   1.09%
Armarouge    | 129 |   1.07%
Urshifur     | 129 |   1.07%
Gallade      | 129 |   1.07%
Breloom      | 126 |   1.05%
Oricoriop    | 126 |   1.05%
Taurospf     | 125 |   1.04%
Exeggutor    | 124 |   1.03%
Braviaryh    | 121 |   1.01%
Xatu         | 121 |   1.01%
Solrock      | 120 |   1.00%
Sneasler     | 120 |   1.00%
Pangoro      | 119 |   0.99%
Quaquaval    | 118 |   0.98%
Bruxish      | 117 |   0.97%
Hawlucha     | 117 |   0.97%
Starmie      | 116 |   0.97%
Mr. Mime     | 115 |   0.96%
Calyrex      | 115 |   0.96%
Claydol      | 115 |   0.96%
Lilliganth   | 114 |   0.95%
Rapidashg    | 113 |   0.94%
Orbeetle     | 112 |   0.93%
Lunatone     | 108 |   0.90%
Raichua      | 106 |   0.88%
Slowkingg    | 106 |   0.88%
Flamigo      | 105 |   0.88%
Slowbro      | 104 |   0.87%
Toxicroak    | 103 |   0.86%
Slowbrog     | 100 |   0.83%
Sigilyph     |  98 |   0.82%
Pawmot       |  96 |   0.80%
Poliwrath    |  96 |   0.80%
Veluza       |  95 |   0.79%
Heracross    |  94 |   0.78%
Rabsca       |  91 |   0.76%
Oranguru     |  90 |   0.75%
Wyrdeer      |  90 |   0.75%
Farigiraf    |  89 |   0.74%
Indeedeef    |  89 |   0.74%
Indeedee     |  88 |   0.73%
Slowking     |  82 |   0.68%
Bewear       |  81 |   0.68%
Taurospw     |  72 |   0.60%
----------------------------
TOTAL        | 12000 | 100.00%

