Evolutions from Pawmo (out of approximately 12000):
Pokémon      | Count | Percentage
----------------------------
Hitmonchan   | 300 |   2.50%
Hitmontop    | 290 |   2.42%
Hitmonlee    | 284 |   2.37%
Sawk         | 260 |   2.17%
Primeape     | 244 |   2.03%
Machamp      | 243 |   2.02%
Mienshao     | 241 |   2.01%
Falinks      | 235 |   1.96%
Sirfetchâ€™d | 234 |   1.95%
Grapploct    | 233 |   1.94%
Passimian    | 225 |   1.88%
Hariyama     | 221 |   1.84%
Throh        | 221 |   1.84%
Taurosp      | 218 |   1.82%
Conkeldurr   | 217 |   1.81%
Lucario      | 210 |   1.75%
Electabuzz   | 207 |   1.73%
Manectric    | 197 |   1.64%
Boltund      | 196 |   1.63%
Ampharos     | 195 |   1.62%
Magnezone    | 193 |   1.61%
Chesnaught   | 193 |   1.61%
Luxray       | 192 |   1.60%
Jolteon      | 187 |   1.56%
Annihilape   | 187 |   1.56%
Raichu       | 186 |   1.55%
Zebstrika    | 182 |   1.52%
Electrode    | 181 |   1.51%
Bellibolt    | 181 |   1.51%
Blaziken     | 181 |   1.51%
Gallade      | 169 |   1.41%
Infernape    | 164 |   1.37%
Decidueyeh   | 163 |   1.36%
Dracozolt    | 162 |   1.35%
Eelektross   | 159 |   1.32%
Scrafty      | 159 |   1.32%
Magneton     | 159 |   1.32%
Medichamm    | 159 |   1.32%
Taurospf     | 157 |   1.31%
Quaquaval    | 157 |   1.31%
Emboar       | 155 |   1.29%
Rotomm       | 152 |   1.27%
Lilliganth   | 151 |   1.26%
Flamigo      | 150 |   1.25%
Breloom      | 147 |   1.23%
Sneasler     | 147 |   1.23%
Pangoro      | 144 |   1.20%
Hawlucha     | 141 |   1.18%
Crabminble   | 140 |   1.17%
Toxicroak    | 140 |   1.17%
Stunfisk     | 134 |   1.12%
Golema       | 131 |   1.09%
Heliolisk    | 130 |   1.08%
Raichua      | 128 |   1.07%
Kilowattrl   | 128 |   1.07%
Toxtricity   | 124 |   1.03%
Galvantula   | 123 |   1.03%
Rotomfr      | 122 |   1.02%
Arctozolt    | 116 |   0.97%
Rotomh       | 114 |   0.95%
Rotomw       | 113 |   0.94%
Oricorioe    | 113 |   0.94%
Poliwrath    | 112 |   0.93%
Electrodeh   | 110 |   0.92%
Rotomfa      | 108 |   0.90%
Taurospw     | 107 |   0.89%
Toxtricitl   | 104 |   0.87%
Vikavolt     |  98 |   0.82%
Lanturn      |  97 |   0.81%
Heracross    |  95 |   0.79%
Bewear       |  84 |   0.70%
----------------------------
TOTAL        | 12000 | 100.00%

