Evolutions from Rattataa (out of approximately 12000):
Pokémon      | Count | Percentage
----------------------------
Liepard      | 419 |   3.49%
Mightyena    | 402 |   3.35%
Persiana     | 391 |   3.26%
Sableye      | 381 |   3.17%
Munchlax     | 374 |   3.12%
Delcatty     | 371 |   3.09%
Murkrow      | 358 |   2.98%
Gumshoos     | 350 |   2.92%
Raticate     | 348 |   2.90%
Porygon      | 347 |   2.89%
Watchog      | 345 |   2.88%
Lickitung    | 341 |   2.84%
Dunsparce    | 337 |   2.81%
Furret       | 334 |   2.78%
Castform     | 331 |   2.76%
Morpeko      | 330 |   2.75%
Sneasel      | 325 |   2.71%
Linoone      | 325 |   2.71%
Chatot       | 321 |   2.67%
Eeveep       | 318 |   2.65%
Farfetchâ€™d | 312 |   2.60%
Morpekoh     | 308 |   2.57%
Audino       | 301 |   2.51%
Squawkbily   | 298 |   2.48%
Persian      | 290 |   2.42%
Vigoroth     | 288 |   2.40%
Kecleon      | 281 |   2.34%
Qwilfishh    | 278 |   2.32%
Linooneg     | 275 |   2.29%
Purugly      | 273 |   2.27%
Fearow       | 272 |   2.27%
Terapagos    | 265 |   2.21%
Chansey      | 260 |   2.17%
Diggersby    | 245 |   2.04%
Wigglytuff   | 234 |   1.95%
Noctowl      | 219 |   1.82%
Bibarel      | 196 |   1.63%
Zweilous     | 195 |   1.62%
Lokix        | 162 |   1.35%
----------------------------
TOTAL        | 12000 | 100.00%

