Evolutions from Scraggy (out of approximately 12000):
Pokémon      | Count | Percentage
----------------------------
Hitmonchan   | 273 |   2.27%
Hitmontop    | 263 |   2.19%
Hitmonlee    | 262 |   2.18%
Mienshao     | 249 |   2.08%
Conkeldurr   | 248 |   2.07%
Throh        | 243 |   2.02%
Persiana     | 235 |   1.96%
Liepard      | 233 |   1.94%
Zoroark      | 227 |   1.89%
Absol        | 226 |   1.88%
Passimian    | 225 |   1.88%
Thievul      | 225 |   1.88%
Primeape     | 223 |   1.86%
Falinks      | 223 |   1.86%
Grapploct    | 220 |   1.83%
Taurosp      | 219 |   1.82%
Sawk         | 218 |   1.82%
Sirfetchâ€™d | 208 |   1.73%
Umbreon      | 207 |   1.73%
Hariyama     | 206 |   1.72%
Mabosstiff   | 205 |   1.71%
Machamp      | 202 |   1.68%
Bisharp      | 189 |   1.57%
Annihilape   | 188 |   1.57%
Lucario      | 181 |   1.51%
Infernape    | 176 |   1.47%
Gallade      | 170 |   1.42%
Bombirdier   | 168 |   1.40%
Incineroar   | 167 |   1.39%
Meowscrada   | 165 |   1.38%
Chesnaught   | 163 |   1.36%
Pangoro      | 163 |   1.36%
Blaziken     | 160 |   1.33%
Decidueyeh   | 159 |   1.32%
Medichamm    | 157 |   1.31%
Grimmsnarl   | 157 |   1.31%
Krookodile   | 157 |   1.31%
Cacturne     | 150 |   1.25%
Honchkrow    | 146 |   1.22%
Quaquaval    | 145 |   1.21%
Greninja     | 145 |   1.21%
Emboar       | 144 |   1.20%
Spiritomb    | 143 |   1.19%
Lilliganth   | 142 |   1.18%
Malamar      | 141 |   1.18%
Taurospf     | 139 |   1.16%
Crabminble   | 139 |   1.16%
Mandibuzz    | 138 |   1.15%
Weavile      | 138 |   1.15%
Sableyem     | 137 |   1.14%
Qwilfishh    | 135 |   1.12%
Skuntank     | 135 |   1.12%
Flamigo      | 135 |   1.12%
Houndoom     | 133 |   1.11%
Sneasler     | 130 |   1.08%
Shiftry      | 129 |   1.07%
Sharpedo     | 128 |   1.07%
Muka         | 127 |   1.06%
Overqwil     | 126 |   1.05%
Breloom      | 124 |   1.03%
Pawmot       | 123 |   1.03%
Crawdaunt    | 120 |   1.00%
Toxicroak    | 119 |   0.99%
Drapion      | 119 |   0.99%
Samurotth    | 117 |   0.97%
Hawlucha     | 115 |   0.96%
Lokix        | 110 |   0.92%
Poliwrath    | 108 |   0.90%
Bewear       |  96 |   0.80%
Obstagoon    |  92 |   0.77%
Heracross    |  90 |   0.75%
Taurospw     |  82 |   0.68%
----------------------------
TOTAL        | 12000 | 100.00%

